date,state,abbr,county,fips,population,ccvi score,cases,case rate,deaths,death rate,median income 2018,uninsured percent,fair or poor health percent,socioeconomic status,household composition and disability,minority status and language,housing type and transportation,epidemiological factors,healthcare system factors
9/30/2020,Florida,FL,Osceola,12097,,0.872,12556,0.12556,153,0.00153,50473,0.162,0.24,0.693,0.41100000000000003,0.982,0.263,0.517,0.898
9/30/2020,Florida,FL,Palm Beach,12099,,0.4,46550,0.4655,1369,0.01369,61735,0.174,0.17,0.32299999999999995,0.138,0.9109999999999999,0.21600000000000003,0.425,0.44799999999999995
9/30/2020,Florida,FL,Pasco,12101,,0.5720000000000001,9322,0.09322,209,0.00209,53788,0.149,0.18,0.46,0.37799999999999995,0.735,0.188,0.508,0.619
9/30/2020,Florida,FL,Pinellas,12103,,0.462,22181,0.22181,753,0.00753,52226,0.14300000000000002,0.17,0.31,0.204,0.721,0.58,0.505,0.47100000000000003
9/30/2020,Florida,FL,Polk,12105,,0.857,20032,0.20032,531,0.00531,51354,0.158,0.21,0.637,0.521,0.8959999999999999,0.32799999999999996,0.7709999999999999,0.7659999999999999
9/30/2020,Florida,FL,Putnam,12107,,0.873,2141,0.02141,40,0.0004,39578,0.172,0.25,0.93,0.72,0.775,0.721,0.276,0.946
9/30/2020,Florida,FL,Santa Rosa,12113,,0.436,5354,0.05354,77,0.00077,69541,0.125,0.17,0.27399999999999997,0.364,0.495,0.157,0.324,0.9209999999999999
9/30/2020,Florida,FL,Sarasota,12115,,0.146,8189,0.08189,258,0.00258,61652,0.163,0.13,0.132,0.218,0.6,0.158,0.41700000000000004,0.24600000000000002
9/30/2020,Florida,FL,Seminole,12117,,0.602,9097,0.09097,214,0.00214,67187,0.10099999999999999,0.16,0.214,0.055,0.866,0.083,0.846,0.909
9/30/2020,Florida,FL,St. Johns,12109,,0.126,5391,0.05391,70,0.0007,81925,0.106,0.13,0.07,0.121,0.478,0.054000000000000006,0.14400000000000002,0.67
9/30/2020,Florida,FL,St. Lucie,12111,,0.722,8091,0.08091,283,0.00283,53377,0.16899999999999998,0.19,0.595,0.371,0.892,0.252,0.495,0.7390000000000001
9/30/2020,Florida,FL,Sumter,12119,,0.364,2313,0.02313,70,0.0007,55324,0.11900000000000001,0.14,0.115,0.18600000000000003,0.41,0.111,0.649,0.833
9/30/2020,Florida,FL,Suwannee,12121,,0.963,2739,0.02739,71,0.00071,38525,0.172,0.24,0.825,0.9109999999999999,0.7090000000000001,0.86,0.7070000000000001,0.9790000000000001
9/30/2020,Florida,FL,Taylor,12123,,0.934,1329,0.01329,13,0.00013,42307,0.149,0.24,0.8190000000000001,0.499,0.606,0.971,0.737,0.755
9/30/2020,Florida,FL,Union,12125,,0.7759999999999999,969,0.00969,16,0.00016,45906,0.127,0.22,0.958,0.263,0.5479999999999999,0.932,0.26899999999999996,0.775
9/30/2020,Florida,FL,Volusia,12127,,0.46399999999999997,10945,0.10945,249,0.00249,50285,0.146,0.18,0.457,0.396,0.667,0.161,0.485,0.508
9/30/2020,Florida,FL,Wakulla,12129,,0.607,1142,0.01142,10,0.0001,58203,0.124,0.17,0.501,0.319,0.402,0.618,0.39399999999999996,0.9440000000000001
9/30/2020,Florida,FL,Walton,12131,,0.521,1977,0.01977,25,0.00025,60973,0.17600000000000002,0.22,0.361,0.34,0.517,0.6940000000000001,0.34,0.731
9/30/2020,Florida,FL,Washington,12133,,0.968,1084,0.01084,22,0.00022,39225,0.166,0.23,0.914,0.721,0.5820000000000001,0.831,0.9109999999999999,0.912
